Date,3-026
2017-08-28,396.0
2017-08-29,497.0
2017-08-30,442.0
2017-08-31,507.0
2017-09-01,400.0
2017-09-02,556.0
2017-09-03,482.0
2017-09-04,562.0
2017-09-05,414.0
2017-09-06,388.0
2017-09-07,405.0
2017-09-08,460.0
2017-09-09,478.0
2017-09-10,412.0
2017-09-11,393.0
2017-09-12,399.0
2017-09-13,432.0
2017-09-14,403.0
2017-09-15,416.0
2017-09-16,445.0
2017-09-17,372.0
2017-09-18,384.0
2017-09-19,411.0
2017-09-20,379.0
2017-09-21,433.0
2017-09-22,499.0
2017-09-23,442.0
2017-09-24,410.0
2017-09-25,385.0
2017-09-26,391.0
2017-09-27,429.0
2017-09-28,424.0
2017-09-29,490.0
2017-09-30,452.0
2017-10-01,287.0
2017-10-02,348.0
2017-10-03,395.0
2017-10-04,426.0
2017-10-05,422.0
2017-10-06,639.0
2017-10-07,469.0
2017-10-08,291.0
2017-10-09,452.0
2017-10-10,377.0
2017-10-11,389.0
2017-10-12,366.0
2017-10-13,422.0
2017-10-14,337.0
2017-10-15,306.0
2017-10-16,305.0
2017-10-17,320.0
2017-10-18,380.0
2017-10-19,366.0
2017-10-20,394.0
2017-10-21,322.0
2017-10-22,297.0
2017-10-23,313.0
2017-10-24,306.0
2017-10-25,338.0
2017-10-26,399.0
2017-10-27,399.0
2017-10-28,342.0
2017-10-29,326.0
2017-10-30,303.0
2017-10-31,301.0
2017-11-01,262.0
2017-11-02,294.0
2017-11-03,391.0
2017-11-04,308.0
2017-11-05,239.0
2017-11-06,262.0
2017-11-07,271.0
2017-11-08,293.0
2017-11-09,316.0
2017-11-10,354.0
2017-11-11,289.0
2017-11-12,208.0
2017-11-13,335.0
2017-11-14,335.0
2017-11-15,297.0
2017-11-16,313.0
2017-11-17,366.0
2017-11-18,267.0
2017-11-19,227.0
2017-11-20,261.0
2017-11-21,282.0
2017-11-22,226.0
2017-11-23,288.0
2017-11-24,369.0
2017-11-25,319.0
2017-11-26,221.0
2017-11-27,239.0
2017-11-28,298.0
2017-11-29,375.0
2017-11-30,387.0
2017-12-01,248.0
2017-12-02,331.0
2017-12-03,326.0
2017-12-04,332.0
2017-12-05,298.0
2017-12-06,311.0
2017-12-07,379.0
2017-12-08,380.0
2017-12-09,326.0
2017-12-10,305.0
2017-12-11,342.0
2017-12-12,377.0
2017-12-13,400.0
2017-12-14,382.0
2017-12-15,390.0
2017-12-16,401.0
2017-12-17,385.0
2017-12-18,360.0
2017-12-19,383.0
2017-12-20,453.0
2017-12-21,461.0
2017-12-22,406.0
2017-12-23,356.0
2017-12-24,233.0
2017-12-25,142.0
2017-12-26,167.0
2017-12-27,263.0
2017-12-28,269.0
2017-12-29,314.0
2017-12-30,353.0
2017-12-31,18.0
2018-01-01,0.0
2018-01-02,265.0
2018-01-03,294.0
2018-01-04,303.0
2018-01-05,296.0
2018-01-06,261.0
2018-01-07,257.0
2018-01-08,278.0
2018-01-09,370.0
2018-01-10,245.0
2018-01-11,299.0
2018-01-12,270.0
2018-01-13,315.0
2018-01-14,287.0
