Date,1-58,1-85,1-322,1-468,1-477,2-10,2-32,2-42,3-026,3-34,3-175,3-240,3-324,3-332,3-338,4-1,4-10,4-43,5-1,5-19,5-65,5-232,5-257,6-30,6-74,7-35,7-253,8-34,8-106,8-243,8-260,8-268,9-18,9-60,10-60,gnt-2
2022-03-09 00:00:00,257.0,305.0,93.0,369.0,111.0,302.0,1163.0,3023.0,479.0,228.0,317.0,613.0,741.0,1009.0,4742.0,619.0,750.0,413.0,250.0,105.0,38.0,49.0,268.0,63.0,36.0,73.0,17.0,10,102.0,81.0,327.0,648.0,23.0,17.0,36.0,217
2022-03-10 00:00:00,245.0,321.0,115.0,326.0,136.0,363.0,1280.0,2979.0,481.0,235.0,301.0,627.0,762.0,1116.0,5808.0,679.0,828.0,435.0,270.0,98.0,37.0,57.0,368.0,69.0,54.0,70.0,16.0,6,105.0,83.0,347.0,659.0,52.0,32.0,27.0,264
2022-03-11 00:00:00,251.0,343.0,142.0,351.0,112.0,370.0,1311.0,3092.0,563.0,246.0,390.0,735.0,721.0,1230.0,4785.0,653.0,810.0,381.0,306.0,114.0,65.0,72.0,512.0,75.0,60.0,76.0,25.0,13,91.0,95.0,399.0,785.0,45.0,27.0,50.0,252
2022-03-12 00:00:00,252.0,338.0,87.0,277.0,90.0,341.0,1177.0,3058.0,504.0,210.0,354.0,640.0,754.0,1103.0,3454.0,793.0,992.0,482.0,273.0,135.0,40.0,50.0,312.0,54.0,43.0,48.0,26.0,15,108.0,80.0,281.0,573.0,34.0,28.0,27.0,179
2022-03-13 00:00:00,187.0,252.0,113.0,223.0,83.0,265.0,974.0,2052.0,449.0,223.0,288.0,591.0,666.0,928.0,2931.0,770.0,992.0,439.0,229.0,102.0,33.0,56.0,392.0,46.0,28.0,45.0,12.0,96,191.0,128.0,246.0,485.0,45.0,39.0,15.0,167
2022-03-14 00:00:00,223.0,265.0,116.0,255.0,74.0,294.0,1220.0,1757.0,408.0,264.0,262.0,553.0,680.0,1040.0,3830.0,613.0,789.0,398.0,344.0,69.0,58.0,58.0,443.0,70.0,48.0,43.0,15.0,30,136.0,95.0,417.0,821.0,38.0,25.0,28.0,255
2022-03-15 00:00:00,254.0,317.0,132.0,282.0,81.0,290.0,1384.0,3132.0,506.0,319.0,342.0,677.0,721.0,1096.0,4352.0,647.0,798.0,423.0,416.0,112.0,58.0,59.0,359.0,70.0,47.0,78.0,36.0,2,122.0,52.0,314.0,623.0,44.0,39.0,36.0,254
2022-03-16 00:00:00,246.0,343.0,114.0,306.0,98.0,356.0,1379.0,3101.0,434.0,219.0,292.0,624.0,706.0,1083.0,5172.0,653.0,823.0,407.0,366.0,104.0,46.0,48.0,234.0,74.0,50.0,63.0,25.0,60,160.0,108.0,385.0,746.0,44.0,32.0,34.0,234
2022-03-17 00:00:00,259.0,346.0,112.0,299.0,83.0,360.0,1377.0,3159.0,522.0,251.0,365.0,701.0,722.0,1129.0,5065.0,677.0,856.0,423.0,327.0,113.0,57.0,60.0,329.0,84.0,66.0,63.0,30.0,51,133.0,101.0,391.0,752.0,37.0,25.0,49.0,264
2022-03-18 00:00:00,228.0,304.0,150.0,328.0,92.0,322.0,1314.0,3383.0,536.0,286.0,348.0,771.0,799.0,1243.0,4752.0,859.0,999.0,485.0,412.0,122.0,105.0,80.0,292.0,104.0,72.0,121.0,43.0,44,126.0,106.0,408.0,816.0,51.0,36.0,73.0,268
